z_spec,MAG_u,MAG_g,MAG_r,MAG_i
0.8467,24.207657,24.124,23.921007,23.260944
1.1642,23.811632,23.627718,23.317646,22.998497
0.79195,23.333735,23.044998,22.719929,21.923243
0.73538,22.45568,21.968735,21.614063,20.967787
0.73154,24.165096,23.286324,23.018105,22.527767
0.80475,22.580574,22.598907,22.67824,22.019188
0.83794,24.035284,23.74067,23.828814,23.596802
0.7362,23.613626,23.687012,24.05968,23.658726
1.0446,22.876266,23.06079,23.020798,22.86857
1.32684,23.225554,23.412281,23.762196,23.532013
1.15451,22.92007,22.502075,22.243824,22.012964
1.03904,25.018785,24.262747,23.816,23.411219
0.75483,23.01785,22.77058,22.539282,21.94438
0.9152,23.414412,23.030214,22.676859,22.256153
0.86131,23.56896,23.501331,23.129503,22.671623
1.166,24.880934,24.27661,23.92733,23.596228
0.48497,23.79878,23.914703,23.563469,23.13517
0.84665,22.523174,22.636082,22.34967,21.646019
1.20761,25.066208,24.433302,24.067728,23.53224
0.82362,22.56671,22.495886,22.154697,21.330221
0.87933,23.212502,23.33216,23.117123,22.348526
1.41257,23.721355,23.483345,23.463757,22.893326
1.09638,22.274965,22.322935,22.276453,21.95921
1.22846,23.692783,24.00208,24.003817,23.499063
0.84662,23.801851,24.266954,23.902542,23.390707
0.78472,24.563417,23.655754,23.554739,22.653805
0.19484,23.870178,23.940414,23.878834,23.763027
0.80825,23.404963,23.476175,23.252113,22.236723
1.40629,24.463854,24.445461,24.002235,23.733057
0.82471,24.05639,24.313143,23.989426,23.660938
0.815,23.4985,23.747349,23.578632,23.238897
0.86769,23.265644,23.42073,23.41341,22.564255
1.15407,24.069597,23.481092,23.900719,22.485155
0.79209,22.936092,23.00674,22.923378,22.29273
1.09564,22.279669,22.31911,22.169752,21.861666
1.40658,24.243647,24.14845,23.814968,23.431105
0.97354,23.517622,23.244925,22.941893,22.503117
0.83269,23.804781,24.022419,23.80818,23.148926
0.67103,22.492355,22.462736,22.04728,21.560768
0.81464,23.267208,23.54884,23.19859,22.53873
1.16381,23.658833,23.976856,23.689924,23.230839
1.29137,22.997095,22.993279,23.072323,22.928946
0.93802,23.896423,23.717892,23.389502,23.063705
0.73007,23.327297,23.476048,23.18225,22.618263
1.28734,23.612797,23.338594,23.061651,22.9254
1.16978,23.805199,23.56272,23.463726,23.233067
0.49218,24.784117,24.130013,23.997925,23.773735
0.81456,22.584639,22.50956,22.24299,21.45214
0.81298,23.705122,23.20417,23.086817,22.616102
0.72602,23.441637,23.017267,22.570505,21.60774
1.17497,23.69945,23.506233,23.48699,23.292267
