z_phot,MAG_u,MAG_g,MAG_r,MAG_i
1.367,25.289883,24.39461,24.224009,23.642952
1.367,24.252605,23.980368,23.564106,24.124239
0.137,24.16488,23.123755,22.473522,22.133032
0.667,23.631435,23.426956,22.90994,22.743813
0.857,99,24.202423,24.435429,23.38982
0.667,22.183867,22.383905,21.7748,21.5586
1.387,23.79337,23.42722,23.410332,22.810017
0.887,22.78561,22.830872,22.816013,22.0774
1.077,23.24839,23.906618,23.342453,23.82846
0.697,24.286705,24.85447,23.886776,23.566942
1.307,22.162497,22.191984,22.05428,22.009445
0.847,23.854816,23.679626,23.449966,22.571096
1.247,23.145557,23.401096,23.372952,23.386395
0.727,25.27475,24.31898,22.880554,21.892738
1.327,25.345558,24.649353,24.131844,24.32051
0.887,23.37672,23.43694,23.290426,22.517347
1.087,23.141716,23.19633,22.792513,22.669388
0.207,23.74239,23.389847,23.09845,22.430857
0.707,24.374516,24.366447,23.748014,23.51199
0.327,21.83871,21.535517,20.836079,20.694868
0.797,23.116116,22.869629,22.423578,21.657928
1.307,24.633991,24.855625,24.560259,23.691092
0.847,24.285929,23.672379,23.216393,22.124458
0.977,23.519684,24.94439,24.366001,24.026777
1.367,23.678143,23.934061,23.944647,24.468576
0.837,22.871223,23.006153,22.542511,21.643456
0.577,23.074139,22.526054,21.955202,21.830431
0.947,24.264065,25.391586,24.731579,24.036139
1.097,24.262167,24.27599,23.304918,23.11909
0.537,99,24.014856,22.793745,22.259293
0.877,25.084257,24.14956,23.711025,23.23346
1.187,24.713522,24.473349,24.260635,24.19654
1.137,23.485476,23.85145,23.789652,23.411709
0.427,99,24.04144,22.457605,21.828722
0.727,23.411997,23.537107,23.067373,22.36321
0.687,24.268108,23.525501,23.21174,22.489578
0.617,24.340542,23.724072,22.950634,22.33586
1.197,23.602179,24.095392,23.641659,23.330936
0.707,23.393246,23.28597,22.91089,22.001316
0.437,22.918333,21.621399,20.199102,19.633558
0.937,23.698757,23.612701,23.331448,22.860107
0.857,23.697376,24.263475,23.679295,22.490616
0.737,99,24.326258,24.40217,22.290062
1.167,23.702606,23.9354,23.694836,23.70568
0.657,22.602745,22.433289,22.013752,21.527773
1.387,24.46444,23.840603,24.074907,23.478
0.877,23.588207,23.559566,22.670704,21.664162
1.107,23.068687,22.922493,22.398026,22.085966
0.587,99,24.894838,24.195078,23.609613
1.257,24.123892,23.775644,23.840157,24.285301
0.807,23.61852,23.789623,23.030642,21.971489
0.647,99,24.881025,23.994768,22.718468
0.527,24.676363,24.590286,23.772682,23.778553
0.757,24.17089,24.147413,23.75369,23.231873
1.167,23.843746,23.960106,23.803919,23.884653
0.367,22.812756,22.80236,22.409006,22.731794
0.977,99,23.656292,22.667881,21.495684
1.007,24.387922,24.608147,23.681034,23.545952
0.977,23.854166,24.26592,23.672398,23.977983
0.517,99,25.339655,24.325716,24.231617
0.637,25.1167,24.512636,23.660418,23.436481
0.627,24.036917,23.848433,23.323915,22.900236
0.757,23.851301,23.477688,22.633816,21.792402
1.227,24.499954,24.507412,24.163847,24.110415
0.257,23.976404,23.822842,23.647976,23.811153
0.347,99,24.472666,23.90596,24.243446
0.327,22.18559,21.47145,20.523785,20.180046
1.127,24.090935,24.383741,24.210169,24.21602
1.057,23.615276,23.459038,23.355003,23.343506
0.937,24.932957,24.219131,22.979052,22.124022
0.727,24.982876,25.399658,24.775797,23.992905
0.227,24.347548,22.813404,22.079924,21.734465
0.177,21.366951,20.432747,19.94138,19.76308
0.607,99,25.291811,24.638556,23.97931
0.767,23.87575,23.706676,23.204443,22.601864
1.397,24.220226,23.941042,23.612505,23.09319
0.667,24.26718,24.370117,23.846012,23.759785
0.637,24.362286,24.187834,23.654324,23.93007
0.857,99,24.61234,24.358835,24.294683
0.597,25.1923,24.319305,23.904776,23.480303
0.777,23.527979,23.537725,22.880058,22.370367
0.857,22.596317,22.595865,22.349022,21.517212
1.067,23.528515,25.227938,24.450726,24.360296
0.857,23.8604,23.966196,23.110985,22.072098
1.107,23.510044,25.108986,24.802412,23.806025
0.717,99,24.224009,24.150862,22.26947
0.987,23.874119,23.691792,23.298487,22.759258
0.387,24.12836,23.337406,22.552593,22.451685
0.997,22.556051,22.237045,22.021086,21.614325
0.407,21.332954,21.126251,20.650345,20.393553
0.377,21.666307,20.951008,19.818422,19.470583
0.507,24.566832,23.977364,23.02183,22.707602
1.017,24.299234,24.162262,24.283926,23.74958
0.547,24.903734,23.950136,23.23525,22.931473
0.137,23.143904,22.553013,22.304482,22.24249
1.097,23.418549,23.450535,23.35928,22.818293
0.767,24.277775,24.14509,23.939789,23.713085
1.387,23.281273,23.392036,23.215446,23.38456
1.147,23.535944,23.443096,23.433529,23.08411
0.687,24.855438,23.747858,23.363361,22.846676
0.697,24.482933,23.75792,22.563913,21.47452
1.097,99,24.99008,23.744665,22.632383
0.547,24.513401,24.597082,23.85237,23.932056
0.217,22.89834,22.51551,22.258158,22.02511
0.577,99,24.478561,22.890602,21.725853
0.607,23.209024,22.828022,22.340462,21.858437
0.447,21.65158,21.129946,19.995333,19.727093
0.857,23.898983,23.816454,23.628979,23.144314
0.717,23.59599,24.610764,23.581713,23.060673
1.077,24.47497,24.06091,24.155666,23.70842
1.237,24.22434,24.074001,24.410265,24.092613
0.607,23.158028,22.322567,21.76625,21.144617
1.047,23.971928,23.808054,23.75545,23.261688
0.627,23.315453,23.155344,22.569304,22.030348
0.567,24.365122,24.694351,23.569061,22.856373
0.297,24.223936,23.88931,23.396626,23.75084
0.627,24.278553,24.381773,23.98972,23.33027
0.217,23.463053,22.860422,22.76866,22.5955
0.797,24.172058,24.24174,23.643105,22.448822
1.007,22.820885,22.89528,22.391993,21.60339
0.697,25.014637,24.200422,23.489666,22.985874
0.857,23.56614,23.636116,23.420013,23.054718
0.677,21.742218,21.222437,20.7248,20.252367
0.677,99,24.270304,23.723284,22.741575
0.437,22.220524,21.609169,20.57563,20.24949
1.397,24.45255,24.270666,24.27961,24.01216
0.777,24.943462,24.207178,24.008991,23.561932
0.737,22.447153,22.27404,21.650505,20.945133
0.527,24.333391,24.0507,23.36385,23.306639
0.837,23.537092,23.07997,23.018105,22.296497
0.427,22.097416,21.931147,21.33929,21.224247
0.517,99,23.713114,22.300482,21.359526
0.667,23.388187,22.971992,22.392233,21.711931
0.547,23.325323,23.165289,22.573824,22.473297
0.367,23.055492,21.045591,19.334435,18.74803
1.077,23.800568,24.044579,23.988028,23.354029
0.927,23.799267,24.039083,23.546366,22.792795
1.297,24.715576,24.237736,23.64316,23.001667
0.627,24.215075,24.080952,23.924503,23.463577
1.127,99,99,24.430458,23.05755
0.657,23.471252,23.372635,22.849382,22.365019
0.177,23.18629,22.574688,22.334446,22.266518
0.907,24.15497,24.112043,23.472122,22.763117
